id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
43,,Kals,47.00478,12.6465,1352.4,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
44,,Kalwang,47.42126,14.75961,743.6,1994-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
46,,Krems,48.41861,15.62222,202.0,1996-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
47,,Krimml,47.22911,12.18197,1008.8,1997-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
48,,Klagenfurt Flughafen,46.64833,14.31833,450.0,1991-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
49,,Kleinzicken,47.2075,16.326667,263.0,1993-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
50,,Landeck,47.14025,10.56364,795.6,1993-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
51,,Langenlebarn,48.32389,16.11806,175.3,1992-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
52,,Langenlois,48.4725,15.69722,207.0,1989-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
53,,Laßnitzhöhe,47.07361,15.59222,530.0,1990-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
54,,Leibnitz-Wagna,46.76739,15.55289,267.9,2003-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
55,,Lienz,46.82555,12.80639,661.0,1985-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
56,,Linz Stadt,48.29639,14.28528,262.0,1992-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
